title,release_date,release_year,revenue,budget,return,belongs_to_collection,production_companies,production_countries,spoken_languages,id,vote_average,vote_count,popularity,genero
Toy Story,1995-10-30,1995.0,373554033.0,30000000.0,12.4518011,Toy Story Collection,,,,862,7.7,5415.0,21.946943,Animation
Jumanji,1995-12-15,1995.0,262797249.0,65000000.0,4.0430346,,,,,8844,6.9,2413.0,17.015539,Adventure
Grumpier Old Men,1995-12-22,1995.0,0.0,0.0,0.0,Grumpy Old Men Collection,,,,15602,6.5,92.0,11.7129,Romance
Waiting to Exhale,1995-12-22,1995.0,81452156.0,16000000.0,5.09075975,,,,,31357,6.1,34.0,3.859495,Comedy
Father of the Bride Part II,1995-02-10,1995.0,76578911.0,0.0,0.0,Father of the Bride Collection,,,,11862,5.7,173.0,8.387519,Comedy
Heat,1995-12-15,1995.0,187436818.0,60000000.0,3.123946966666667,,,,,949,7.7,1886.0,17.924927,Action
Sabrina,1995-12-15,1995.0,0.0,58000000.0,0.0,,,,,11860,6.2,141.0,6.677277,Comedy
Tom and Huck,1995-12-22,1995.0,0.0,0.0,0.0,,,,,45325,5.4,45.0,2.561161,Action
Sudden Death,1995-12-22,1995.0,64350171.0,35000000.0,1.8385763142857143,,,,,9091,5.5,174.0,5.23158,Action
GoldenEye,1995-11-16,1995.0,352194034.0,58000000.0,6.072310931034483,James Bond Collection,,,,710,6.6,1194.0,14.686036,Adventure
The American President,1995-11-17,1995.0,107879496.0,62000000.0,1.739991870967742,,,,,9087,6.5,199.0,6.318445,Comedy
Dracula: Dead and Loving It,1995-12-22,1995.0,0.0,0.0,0.0,,,,,12110,5.7,210.0,5.430331,Comedy
Balto,1995-12-22,1995.0,11348324.0,0.0,0.0,Balto Collection,,,,21032,7.1,423.0,12.140733,Family
Nixon,1995-12-22,1995.0,13681765.0,44000000.0,0.31094920454545455,,,,,10858,7.1,72.0,5.092,History
Cutthroat Island,1995-12-22,1995.0,10017322.0,98000000.0,0.10221757142857144,,,,,1408,5.7,137.0,7.284477,Action
Casino,1995-11-22,1995.0,116112375.0,52000000.0,2.2329302884615383,,,,,524,7.8,1343.0,10.137389,Drama
Sense and Sensibility,1995-12-13,1995.0,135000000.0,16500000.0,8.181818181818182,,,,,4584,7.2,364.0,10.673167,Drama
Four Rooms,1995-12-09,1995.0,4300000.0,4000000.0,1.075,,,,,5,6.5,539.0,9.026586,Crime
Ace Ventura: When Nature Calls,1995-11-10,1995.0,212385533.0,30000000.0,7.079517766666667,Ace Ventura Collection,,,,9273,6.1,1128.0,8.205448,Crime
Money Train,1995-11-21,1995.0,35431113.0,60000000.0,0.59051855,,,,,11517,5.4,224.0,7.337906,Action
Get Shorty,1995-10-20,1995.0,115101622.0,30250000.0,3.805012297520661,Chili Palmer Collection,,,,8012,6.4,305.0,12.669608,Comedy
Copycat,1995-10-27,1995.0,0.0,0.0,0.0,,,,,1710,6.5,199.0,10.701801,Drama
Assassins,1995-10-06,1995.0,30303072.0,50000000.0,0.60606144,,,,,9691,6.0,394.0,11.065939,Action
Powder,1995-10-27,1995.0,0.0,0.0,0.0,,,,,12665,6.3,143.0,12.133094,Drama
Leaving Las Vegas,1995-10-27,1995.0,49800000.0,3600000.0,13.833333333333334,,,,,451,7.1,365.0,10.332025,Drama
Othello,1995-12-15,1995.0,0.0,0.0,0.0,,,,,16420,7.0,33.0,1.845899,Drama
Now and Then,1995-10-20,1995.0,27400000.0,12000000.0,2.283333333333333,,,,,9263,6.6,91.0,8.681325,Comedy
Persuasion,1995-09-27,1995.0,0.0,0.0,0.0,,,,,17015,7.4,36.0,2.228434,Drama
The City of Lost Children,1995-05-16,1995.0,1738611.0,18000000.0,0.0965895,,,,,902,7.6,308.0,9.822423,Fantasy
Shanghai Triad,1995-04-30,1995.0,0.0,0.0,0.0,,,,,37557,6.5,17.0,1.100915,Drama
Dangerous Minds,1995-08-11,1995.0,180000000.0,0.0,0.0,,,,,9909,6.4,249.0,9.481338,Drama
Twelve Monkeys,1995-12-29,1995.0,168840000.0,29500000.0,5.7233898305084745,,,,,63,7.4,2470.0,12.297305,Science Fiction
Wings of Courage,1996-09-18,1996.0,0.0,0.0,0.0,,,,,78802,6.8,4.0,0.745542,Romance
Babe,1995-07-18,1995.0,254134910.0,30000000.0,8.471163666666667,Babe Collection,,,,9598,6.0,756.0,14.404764,Fantasy
Carrington,1995-11-08,1995.0,0.0,0.0,0.0,,,,,47018,6.4,16.0,1.493361,History
Dead Man Walking,1995-12-29,1995.0,39363635.0,11000000.0,3.5785122727272727,,,,,687,7.3,350.0,6.891317,Drama
Across the Sea of Time,1995-10-20,1995.0,0.0,0.0,0.0,,,,,139405,3.5,2.0,0.114469,Adventure
It Takes Two,1995-11-17,1995.0,0.0,0.0,0.0,,,,,33689,6.1,149.0,7.777735,Comedy
Clueless,1995-07-19,1995.0,0.0,12000000.0,0.0,,,,,9603,6.9,828.0,9.882383,Comedy
"Cry, the Beloved Country",1995-12-15,1995.0,676525.0,0.0,0.0,,,,,34615,6.7,13.0,0.894647,Drama
Richard III,1995-12-29,1995.0,0.0,0.0,0.0,,,,,31174,6.9,50.0,4.561387,Drama
Dead Presidents,1995-10-06,1995.0,0.0,10000000.0,0.0,,,,,11443,6.6,80.0,9.87957,Action
Restoration,1995-12-29,1995.0,0.0,19000000.0,0.0,,,,,35196,6.3,30.0,10.979269,Drama
Mortal Kombat,1995-08-18,1995.0,122195920.0,18000000.0,6.788662222222222,Mortal Kombat Collection,,,,9312,5.4,452.0,10.870138,Action
To Die For,1995-05-20,1995.0,21284514.0,20000000.0,1.0642257,,,,,577,6.7,177.0,10.448481,Fantasy
How To Make An American Quilt,1995-10-06,1995.0,23574130.0,10000000.0,2.357413,,,,,11861,6.5,38.0,4.485958,Drama
Se7en,1995-09-22,1995.0,327311859.0,33000000.0,9.918541181818181,,,,,807,8.1,5915.0,18.45743,Crime
Pocahontas,1995-06-14,1995.0,346079773.0,55000000.0,6.292359509090909,Pocahontas Collection,,,,10530,6.7,1509.0,13.280069,Adventure
When Night Is Falling,1995-05-05,1995.0,0.0,0.0,0.0,,,,,8391,5.9,10.0,3.302524,Drama
The Usual Suspects,1995-07-19,1995.0,23341568.0,6000000.0,3.890261333333333,,,,,629,8.1,3334.0,16.302466,Drama
Guardian Angel,1994-11-22,1994.0,0.0,0.0,0.0,,,,,117164,6.3,3.0,0.595949,Action
Mighty Aphrodite,1995-09-13,1995.0,6700000.0,15000000.0,0.44666666666666666,,,,,11448,6.7,145.0,15.899134,Comedy
Lamerica,1994-01-01,1994.0,0.0,0.0,0.0,,,,,49133,7.7,11.0,1.361286,Drama
The Big Green,1995-09-29,1995.0,0.0,0.0,0.0,,,,,26441,5.2,41.0,5.982764,Action
Georgia,1995-05-19,1995.0,0.0,0.0,0.0,,,,,97406,6.1,15.0,4.093443,Drama
Kids of the Round Table,1997-07-08,1997.0,0.0,0.0,0.0,,,,,124057,3.0,1.0,0.307075,
Home for the Holidays,1995-11-02,1995.0,17519169.0,0.0,0.0,,,,,9089,6.3,39.0,8.416802,Comedy
The Postman,1994-09-22,1994.0,0.0,0.0,0.0,,,,,11010,7.6,181.0,10.168437,Comedy
The Confessional,1995-09-29,1995.0,0.0,0.0,0.0,,,,,99040,6.5,2.0,0.120789,Thriller
The Indian in the Cupboard,1995-07-14,1995.0,0.0,45000000.0,0.0,,,,,11359,5.9,136.0,10.673296,Adventure
Eye for an Eye,1996-01-12,1996.0,0.0,20000000.0,0.0,,,,,17182,5.8,65.0,4.733526,Drama
Mr. Holland's Opus,1995-12-29,1995.0,106269971.0,0.0,0.0,,,,,2054,6.9,115.0,7.137117,Music
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,1996.0,0.0,0.0,0.0,,,,,10607,6.2,192.0,11.700115,Comedy
Two If by Sea,1996-01-12,1996.0,0.0,0.0,0.0,,,,,19760,4.5,14.0,2.174487,Comedy
Bio-Dome,1996-01-12,1996.0,0.0,15000000.0,0.0,,,,,9536,4.4,110.0,6.387469,Comedy
Lawnmower Man 2: Beyond Cyberspace,1996-01-12,1996.0,2409225.0,0.0,0.0,The Lawnmower Man Collection,,,,11525,2.8,32.0,2.49535,Action
Two Bits,1995-10-22,1995.0,0.0,0.0,0.0,,,,,40628,5.4,11.0,4.046208,Drama
French Twist,1995-02-08,1995.0,0.0,0.0,0.0,,,,,4482,6.0,43.0,2.518051,Comedy
Friday,1995-04-26,1995.0,28215918.0,3500000.0,8.061690857142857,Friday Collection,,,,10634,7.0,513.0,14.56965,Comedy
From Dusk Till Dawn,1996-01-19,1996.0,25836616.0,19000000.0,1.3598218947368421,From Dusk Till Dawn Collection,,,,755,6.9,1644.0,15.339153,Horror
Fair Game,1995-11-03,1995.0,11534477.0,50000000.0,0.23068954,,,,,11859,4.1,54.0,5.912223,Action
Kicking and Screaming,1995-10-06,1995.0,718490.0,0.0,0.0,,,,,28387,7.0,36.0,3.367276,Comedy
Les Miserables,1995-03-22,1995.0,0.0,0.0,0.0,,,,,48750,6.6,8.0,1.479446,Drama
Bed of Roses,1996-01-26,1996.0,19030691.0,0.0,0.0,,,,,20927,5.1,27.0,10.412194,Drama
Big Bully,1996-01-26,1996.0,2042530.0,15000000.0,0.13616866666666666,,,,,36929,3.9,16.0,2.936443,Comedy
Screamers,1995-09-08,1995.0,5781885.0,20000000.0,0.28909425,Screamers Collection,,,,9102,6.1,154.0,12.758848,Horror
Nico Icon,1995-02-18,1995.0,0.0,0.0,0.0,,,,,124626,7.3,3.0,0.133893,Documentary
The Crossing Guard,1995-11-15,1995.0,0.0,0.0,0.0,,,,,27526,6.1,74.0,5.756462,Drama
